mx,my,mz
-30.835,-4.736,-9.595
-29.419,-6.311,-9.192
-28.821,-6.897,-9.265
-28.760,-6.140,-9.387
-29.443,-6.458,-9.583
-29.443,-6.458,-9.583
-29.272,-5.750,-8.899
-28.284,-8.008,-8.154
-24.377,-9.180,-8.093
-12.549,-14.746,-7.581
-4.822,-16.125,-6.458
-4.822,-16.125,-6.458
4.053,-17.578,-5.579
12.634,-18.347,-5.212
20.813,-17.358,-4.272
29.114,-15.857,-3.162
29.114,-15.857,-3.162
35.303,-12.805,-3.418
40.857,-10.327,-4.016
43.970,-8.411,-2.539
46.008,-7.153,-3.540
46.716,-5.579,-2.356
46.716,-5.579,-2.356
48.376,-4.724,-2.795
48.450,-4.285,-3.723
48.999,-2.026,-3.052
49.329,-1.721,-3.735
49.805,-1.794,-3.638
50.891,-0.793,-4.358
50.891,-0.793,-4.358
50.781,0.146,-3.992
50.391,1.160,-4.712
50.940,2.722,-4.773
51.831,4.041,-4.785
52.295,4.395,-4.272
53.613,5.774,-5.103
53.613,5.774,-5.103
52.954,7.068,-6.445
54.004,7.825,-5.920
52.490,8.545,-5.859
52.625,9.644,-8.337
51.379,9.436,-7.947
51.379,9.436,-7.947
52.271,9.656,-7.849
50.745,10.205,-8.301
51.758,10.986,-9.741
50.806,10.852,-9.497
51.599,10.315,-10.010
51.599,10.315,-10.010
51.050,10.046,-8.154
52.393,9.717,-8.997
52.246,9.399,-6.873
54.919,9.070,-3.992
56.213,8.447,0.232
56.213,8.447,0.232
57.666,8.484,3.687
57.666,8.484,3.687
57.666,8.484,3.687
58.862,7.129,6.982
58.862,7.129,6.982
60.876,6.177,12.280
60.876,6.177,12.280
60.291,6.714,15.942
60.413,6.348,21.875
60.095,5.164,23.950
59.888,4.932,25.842
58.716,3.650,27.625
58.154,2.808,28.918
58.154,2.808,28.918
58.362,1.611,29.272
55.225,2.075,36.462
54.309,1.611,38.867
52.039,1.660,40.710
50.464,1.599,44.287
50.464,1.599,44.287
48.608,2.002,45.471
47.034,2.454,47.180
46.082,1.831,47.937
44.092,2.576,49.719
42.920,1.746,50.879
42.920,1.746,50.879
41.821,2.930,50.525
41.675,2.502,51.453
41.492,2.637,50.049
41.223,2.112,51.086
40.234,2.466,51.941
39.429,2.222,52.930
39.429,2.222,52.930
38.245,2.563,52.356
38.623,2.222,52.173
38.513,2.588,51.343
38.843,2.344,53.088
38.843,2.344,53.088
38.867,2.844,53.064
37.329,3.064,53.552
37.476,3.162,53.455
37.268,2.808,53.455
39.551,1.331,53.125
39.551,1.331,53.125
40.869,-1.440,49.707
41.284,-1.978,50.598
41.895,1.514,51.147
42.163,4.138,52.063
42.163,4.138,52.063
41.125,6.506,51.440
40.295,9.277,53.149
40.100,11.340,51.013
40.491,13.403,52.380
40.063,14.734,51.611
40.588,16.492,51.184
40.588,16.492,51.184
40.100,17.188,50.671
40.210,17.883,49.817
39.648,18.420,49.817
38.977,17.993,50.476
38.977,17.993,50.476
38.867,18.555,51.062
39.087,18.677,50.598
38.904,19.421,50.220
38.049,21.753,49.292
38.098,25.012,46.777
37.280,29.028,43.848
37.280,29.028,43.848
36.475,33.191,40.356
35.571,38.330,34.473
34.509,41.638,27.686
32.141,44.714,17.993
31.116,46.875,8.813
31.116,46.875,8.813
29.126,47.229,-0.977
26.819,45.850,-11.340
24.670,42.859,-17.651
22.534,37.793,-23.901
22.534,37.793,-23.901
22.095,32.812,-27.722
21.582,26.855,-31.860
20.764,20.361,-32.544
20.996,14.905,-32.507
20.581,10.437,-31.030
20.667,5.859,-29.724
20.667,5.859,-29.724
20.715,1.831,-27.673
22.192,-0.867,-25.854
22.034,-3.345,-22.839
22.827,-4.236,-21.729
22.803,-5.835,-19.897
22.803,-5.835,-19.897
22.876,-6.665,-19.739
22.229,-6.384,-20.154
22.180,-6.042,-21.375
21.960,-5.872,-20.789
22.717,-6.116,-20.679
25.024,-11.572,-12.830
25.024,-11.572,-12.830
26.050,-14.905,-5.994
27.698,-18.945,1.709
29.150,-19.861,10.583
31.335,-21.619,20.532
33.044,-20.227,29.272
33.044,-20.227,29.272
34.546,-18.286,36.267
36.255,-14.832,41.052
37.280,-11.060,47.192
37.976,-6.104,49.670
38.464,-0.293,53.003
38.464,-0.293,53.003
38.892,6.055,53.064
39.148,12.024,52.405
38.513,18.347,51.001
38.123,23.486,48.291
37.122,28.882,44.666
37.122,28.882,44.666
36.377,33.691,40.710
36.023,36.646,35.498
35.669,38.721,32.471
34.705,40.112,30.615
34.644,41.223,28.101
33.826,42.395,27.185
33.911,43.274,24.707
34.021,42.468,24.817
34.021,42.468,24.817
33.630,41.089,28.772
34.595,39.038,33.350
35.242,36.450,36.108
36.340,32.703,40.649
36.340,32.703,40.649
36.328,29.700,44.995
36.157,25.220,49.402
34.900,20.374,51.233
32.727,17.908,52.344
31.677,15.271,54.468
31.677,15.271,54.468
29.675,13.525,54.968
26.904,13.196,56.067
25.952,11.877,56.250
26.270,10.742,57.178
26.611,10.864,58.362
26.611,10.864,58.362
25.793,11.731,56.848
25.391,14.209,56.653
24.646,18.713,54.846
26.416,24.683,52.600
26.416,24.683,52.600
26.501,30.896,46.533
27.637,37.927,39.539
28.125,42.554,29.272
29.297,46.350,20.398
29.932,46.790,10.254
29.932,46.790,10.254
31.091,46.265,0.427
31.519,43.164,-6.665
32.556,39.929,-13.660
33.350,34.668,-19.360
34.058,30.176,-23.376
34.058,30.176,-23.376
33.398,23.804,-24.329
33.350,17.944,-25.842
33.557,11.975,-25.012
33.862,8.142,-23.083
33.215,5.115,-22.253
33.215,5.115,-22.253
33.032,1.831,-20.483
32.483,-0.964,-19.873
32.800,-5.859,-15.674
31.824,-9.448,-10.706
31.580,-15.100,-4.199
31.311,-18.750,5.933
31.311,-18.750,5.933
30.005,-21.191,18.201
29.248,-21.057,28.064
28.125,-19.885,37.915
27.173,-15.063,45.471
27.173,-15.063,45.471
26.782,-10.059,51.721
26.599,-3.357,55.005
26.416,5.396,56.506
26.257,11.890,56.604
26.099,19.397,54.004
25.964,26.855,51.025
25.964,26.855,51.025
25.964,32.019,45.911
26.587,34.265,44.019
26.111,36.035,43.213
26.514,35.400,42.798
26.514,35.400,42.798
26.489,34.229,44.714
26.257,31.445,48.352
25.232,26.575,51.221
25.305,19.214,55.322
25.330,13.013,57.361
25.330,13.013,57.361
25.818,7.642,57.483
25.671,4.980,57.581
25.342,3.943,57.312
25.073,3.992,57.031
26.025,3.979,57.568
26.025,3.979,57.568
25.647,4.199,56.946
26.074,4.663,57.422
25.671,5.273,55.505
25.610,5.286,56.958
26.440,6.116,56.262
26.440,6.116,56.262
28.284,6.677,56.653
30.334,7.080,55.969
32.495,7.666,55.664
35.107,7.727,54.456
37.292,7.739,55.066
37.292,7.739,55.066
39.246,8.105,52.637
41.504,8.264,50.757
44.641,8.472,48.096
48.279,7.593,47.021
50.647,7.141,42.920
54.211,6.714,40.967
54.211,6.714,40.967
56.238,5.396,36.047
58.618,5.005,31.128
59.204,4.016,25.708
60.059,3.003,20.398
60.059,3.003,20.398
58.496,2.502,13.367
57.983,1.392,8.252
54.260,0.818,1.611
54.260,0.818,1.611
54.260,0.818,1.611
51.709,0.232,-4.907
45.642,-0.476,-8.887
39.758,-1.184,-16.724
39.758,-1.184,-16.724
32.141,-0.549,-21.143
23.499,-0.745,-25.818
13.708,0.781,-28.442
4.114,1.270,-30.249
4.114,1.270,-30.249
-6.323,2.942,-29.834
-15.393,3.894,-30.249
-23.755,5.688,-26.807
-31.323,7.556,-23.596
-38.550,9.595,-17.212
-38.550,9.595,-17.212
-42.712,10.840,-12.024
-46.057,11.877,-4.456
-47.449,13.330,2.759
-46.960,14.368,9.509
-45.996,15.430,15.955
-44.214,15.747,20.886
-44.214,15.747,20.886
-41.553,16.614,26.990
-39.563,16.821,30.798
-35.120,16.895,34.656
-31.091,17.249,39.648
-31.091,17.249,39.648
-26.477,18.298,42.712
-22.668,18.774,45.703
-18.262,18.811,47.534
-15.454,19.312,49.512
-10.718,18.774,50.342
-7.117,18.787,53.442
-7.117,18.787,53.442
-0.684,18.359,55.261
2.576,17.871,54.700
4.932,17.615,55.627
6.665,18.054,55.713
8.154,16.895,56.458
8.154,16.895,56.458
9.021,17.249,56.287
9.692,16.479,56.885
9.814,16.650,56.152
10.059,16.650,56.226
10.522,17.090,55.212
10.522,17.090,55.212
12.537,16.724,57.544
15.259,16.345,56.201
18.213,16.858,57.556
19.067,15.564,56.226
20.972,15.515,56.567
20.972,15.515,56.567
21.606,15.320,55.469
22.241,13.672,57.556
23.584,10.730,56.165
24.768,8.960,58.508
25.427,7.410,56.995
25.427,7.410,56.995
25.183,7.556,57.593
25.366,7.458,55.859
25.500,6.445,57.129
25.586,5.457,57.019
25.110,6.055,56.641
25.781,4.517,57.434
25.781,4.517,57.434
25.867,3.821,57.898
26.172,3.589,55.725
25.598,4.211,56.824
25.122,4.443,56.494
25.122,4.443,56.494
25.098,4.468,58.057
27.527,4.382,57.043
29.065,4.968,56.921
29.663,4.749,56.177
28.748,4.785,56.250
28.748,4.785,56.250
28.638,5.554,57.239
28.577,5.933,56.262
28.076,5.164,56.189
28.430,5.615,56.140
28.601,5.469,55.310
28.601,5.469,55.310
29.773,4.932,56.372
29.883,4.834,56.519
30.042,5.420,56.531
30.017,5.566,56.140
30.017,5.566,56.140
29.614,5.652,56.580
30.811,5.249,56.262
31.116,5.615,56.653
31.531,5.322,56.714
31.006,5.139,55.908
30.688,5.469,55.005
30.151,4.980,55.615
30.151,4.980,55.615
30.322,5.371,56.177
30.676,5.786,56.323
30.603,5.188,57.617
30.298,5.542,56.531
30.298,5.542,56.531
30.054,6.335,56.091
30.627,5.334,56.494
31.677,5.444,54.846
31.372,5.249,55.261
31.873,5.640,55.225
31.873,5.640,55.225
32.629,5.066,56.018
