x,y,z
0.002,0.418,-0.922
0.004,0.441,-0.866
0.007,0.463,-0.877
0.006,0.479,-0.852
0.011,0.486,-0.849
0.017,0.497,-0.888
0.022,0.504,-0.899
0.018,0.514,-0.865
0.006,0.549,-0.857
0.015,0.551,-0.825
0.008,0.572,-0.785
0.043,0.578,-0.819
0.021,0.604,-0.803
0.015,0.612,-0.815
0.013,0.630,-0.761
0.011,0.641,-0.739
0.017,0.654,-0.738
0.019,0.671,-0.729
0.025,0.680,-0.696
0.041,0.683,-0.732
0.025,0.688,-0.710
0.016,0.710,-0.720
0.020,0.718,-0.686
0.026,0.743,-0.729
0.030,0.730,-0.677
0.027,0.738,-0.675
0.027,0.747,-0.683
0.029,0.762,-0.693
0.016,0.768,-0.638
0.020,0.784,-0.615
0.024,0.786,-0.585
0.037,0.801,-0.598
0.038,0.811,-0.593
0.036,0.816,-0.574
0.037,0.819,-0.583
0.021,0.845,-0.533
0.036,0.852,-0.507
0.044,0.853,-0.489
0.033,0.867,-0.499
0.030,0.883,-0.464
0.035,0.890,-0.436
0.028,0.900,-0.419
0.041,0.909,-0.405
0.176,1.026,-0.434
0.040,0.935,-0.340
0.041,0.934,-0.337
0.035,0.936,-0.310
0.038,0.943,-0.311
0.038,0.937,-0.310
0.043,0.953,-0.278
0.033,0.959,-0.290
0.044,0.956,-0.268
0.039,0.962,-0.229
0.033,0.970,-0.226
0.038,0.971,-0.223
0.038,0.972,-0.189
0.035,0.978,-0.164
0.036,0.979,-0.163
0.037,0.982,-0.146
0.037,0.984,-0.149
0.040,0.986,-0.125
0.039,0.988,-0.110
0.035,0.989,-0.093
0.037,0.993,-0.074
0.035,0.990,-0.061
0.033,0.993,-0.031
0.032,0.994,-0.023
0.035,0.993,-0.003
0.032,0.990,0.024
0.026,0.991,0.037
0.034,0.996,-0.026
0.034,0.995,-0.009
0.036,0.996,0.014
0.033,0.996,0.001
0.033,0.996,0.011
0.031,0.996,-0.013
0.027,0.996,0.006
0.031,0.998,-0.011
0.034,0.993,0.061
0.026,0.991,0.015
0.024,0.995,0.013
0.031,0.995,0.019
0.024,0.996,-0.014
0.028,0.994,-0.007
0.032,0.996,-0.000
0.032,0.996,0.003
0.029,0.995,-0.017
0.029,0.995,-0.001
0.033,0.994,0.009
0.027,0.996,-0.010
0.024,0.996,-0.007
0.027,1.001,-0.012
0.035,0.999,-0.013
0.031,0.997,-0.013
0.031,0.997,-0.018
0.026,0.991,0.010
0.033,1.000,-0.017
0.021,1.000,0.002
0.035,0.996,-0.010
0.027,0.992,0.017
0.025,0.995,0.001
0.019,1.002,0.012
0.030,0.992,0.009
0.025,1.003,-0.021
0.025,0.992,-0.007
0.030,0.998,-0.027
0.036,0.996,-0.010
0.026,0.995,-0.003
0.037,0.998,-0.012
0.029,0.992,-0.020
0.029,1.002,-0.006
0.031,0.998,0.004
0.036,0.964,-0.002
0.030,0.995,0.032
