x,y,z
-9.851,64.514,-19.653
-9.851,64.514,-19.653
-9.485,64.197,-19.775
-9.412,64.282,-18.628
-9.021,64.355,-19.482
-9.204,64.319,-19.287
-9.644,64.014,-19.324
-9.644,64.014,-19.324
-9.497,63.843,-18.176
-9.607,63.916,-18.689
-9.070,64.722,-18.213
-9.009,64.441,-18.726
-9.009,64.441,-18.726
-9.534,64.319,-19.812
-9.131,64.673,-19.080
-9.314,64.697,-20.154
-9.143,64.868,-19.373
-9.583,65.210,-19.714
-9.094,64.514,-19.739
-9.094,64.514,-19.739
-9.937,64.355,-19.312
-9.277,63.904,-19.653
-9.424,63.855,-19.849
-9.387,64.417,-19.263
-9.644,65.063,-19.958
-9.644,65.063,-19.958
-9.558,64.746,-19.714
-9.460,65.100,-19.055
-10.254,65.015,-18.652
-9.875,65.039,-19.409
-9.839,64.600,-19.006
-9.839,64.600,-19.006
-10.254,64.929,-18.652
-10.022,64.734,-18.958
-10.376,64.453,-17.847
-10.962,64.368,-17.041
-11.011,63.879,-18.457
-11.011,63.879,-18.457
-10.535,64.783,-19.080
-9.900,64.673,-21.082
-10.071,65.051,-18.945
-9.375,64.954,-18.066
-9.375,64.954,-18.066
-9.448,65.295,-18.689
-9.460,65.076,-17.834
-9.509,64.795,-18.115
-9.619,64.258,-19.165
-9.106,64.185,-18.982
-9.167,63.672,-19.971
-9.167,63.672,-19.971
-9.070,63.953,-18.530
-9.216,64.294,-19.299
-9.521,64.075,-20.410
-9.827,64.062,-20.679
-9.827,64.062,-20.679
-9.631,64.551,-21.765
-9.436,64.087,-23.828
-10.254,64.087,-27.588
-10.352,64.148,-29.810
-10.132,63.123,-32.312
-10.132,63.123,-32.312
-9.753,62.146,-33.167
-9.924,61.523,-35.461
-10.327,60.706,-37.842
-10.388,59.131,-39.197
-10.388,59.131,-39.197
-9.863,58.325,-42.322
-10.718,56.287,-44.189
-10.681,55.249,-45.276
-10.852,53.308,-46.802
-10.388,51.392,-49.304
-11.072,49.268,-50.220
-11.072,49.268,-50.220
-10.742,47.339,-52.783
-11.060,45.972,-53.845
-10.852,44.104,-54.370
-10.693,42.480,-55.261
-10.571,40.918,-55.652
-10.571,40.918,-55.652
-10.889,40.015,-56.018
-10.986,39.294,-56.323
-11.023,38.208,-57.129
-11.182,37.573,-57.654
-10.571,35.474,-56.934
-10.571,35.474,-56.934
-10.254,34.863,-57.727
-9.863,35.425,-57.324
-10.095,34.180,-56.934
-10.315,34.399,-56.580
-9.741,33.801,-58.569
-9.741,33.801,-58.569
-9.351,33.655,-57.947
-8.630,32.703,-58.606
-8.179,30.261,-59.851
-8.008,32.141,-59.460
-7.825,31.580,-58.813
-7.825,31.787,-59.619
-8.142,31.787,-59.619
-8.118,31.689,-59.241
-8.508,31.653,-59.265
-8.167,31.470,-60.059
-8.435,32.434,-58.606
-8.435,32.434,-58.606
-8.044,32.874,-58.948
-8.276,33.008,-59.033
-7.886,32.800,-59.521
-8.008,32.593,-58.508
-7.751,32.812,-59.277
-7.751,32.812,-59.277
-8.105,33.203,-58.972
-7.495,33.630,-58.948
-7.385,34.131,-58.850
-7.556,35.046,-60.303
-6.897,35.583,-59.021
-6.897,35.583,-59.021
-6.519,37.354,-58.997
-5.847,36.792,-58.215
-5.518,37.537,-58.960
-5.005,37.500,-59.180
-4.663,38.318,-59.045
-4.663,38.318,-59.045
-3.235,38.770,-58.984
-3.284,39.136,-58.899
-2.344,39.551,-58.215
-1.953,39.807,-59.448
-1.953,39.807,-59.448
-0.745,40.125,-58.569
0.061,41.919,-60.022
1.587,42.444,-59.448
2.637,43.530,-58.875
4.297,42.871,-58.008
5.762,43.774,-59.009
5.762,43.774,-59.009
7.593,43.848,-60.034
9.460,45.154,-60.193
11.255,44.226,-60.645
13.171,43.738,-59.607
14.880,43.286,-58.716
14.880,43.286,-58.716
17.578,41.199,-59.888
19.836,40.369,-58.582
21.411,40.198,-60.095
21.692,39.075,-59.387
24.084,38.049,-59.570
24.084,38.049,-59.570
25.635,36.609,-59.692
27.759,35.291,-59.497
29.407,33.911,-58.142
30.493,32.715,-59.033
31.458,30.322,-59.143
31.458,30.322,-59.143
32.605,28.601,-58.777
33.606,26.453,-58.630
34.253,24.194,-58.667
34.949,22.998,-59.009
34.827,21.387,-58.960
34.827,21.387,-58.960
34.729,20.251,-58.582
34.912,19.043,-58.716
34.448,16.931,-58.142
35.083,16.418,-58.362
34.583,15.735,-58.765
34.583,15.735,-58.765
34.485,14.233,-58.533
33.716,14.514,-59.021
33.618,14.917,-59.607
33.032,14.941,-59.302
33.655,15.271,-58.337
33.655,15.454,-58.643
33.655,15.454,-58.643
33.557,15.259,-59.009
33.569,15.283,-58.240
33.398,14.978,-58.374
33.215,15.100,-58.496
33.215,15.100,-58.496
33.459,15.515,-58.533
33.289,15.088,-59.546
33.228,15.344,-59.900
33.679,14.465,-59.119
33.545,14.429,-58.997
33.496,14.014,-58.911
33.496,14.014,-58.911
32.483,12.659,-59.045
31.592,11.218,-58.899
30.469,10.144,-58.765
30.884,8.496,-58.777
29.285,7.727,-58.679
29.285,7.727,-58.679
28.564,5.505,-58.093
26.758,5.164,-58.081
25.476,4.517,-58.496
23.999,3.577,-57.581
23.999,3.577,-57.581
22.913,2.295,-58.313
21.948,2.551,-58.130
20.837,1.892,-58.191
19.897,0.952,-58.936
18.140,1.160,-58.264
15.381,-0.159,-58.618
13.367,1.807,-58.521
13.367,1.807,-58.521
11.926,1.404,-58.215
9.290,3.125,-59.192
8.240,3.918,-57.751
6.848,4.016,-59.314
6.848,4.016,-59.314
5.286,4.944,-59.155
4.333,5.835,-58.313
3.027,6.787,-59.277
1.831,6.982,-59.094
0.171,8.447,-58.093
0.171,11.572,-58.655
-0.452,10.449,-58.655
-1.965,10.779,-58.435
-3.540,13.037,-59.045
-4.248,14.221,-59.131
-4.797,17.261,-58.936
-5.872,16.956,-57.947
-6.152,18.872,-58.118
-5.884,19.958,-59.558
-6.360,20.947,-60.071
-6.360,20.947,-60.071
-6.250,22.546,-58.789
-6.006,22.852,-58.838
-6.152,23.291,-59.692
-6.030,23.328,-59.424
-6.030,23.328,-59.424
-6.091,23.657,-59.424
-6.555,23.242,-59.705
-7.178,23.413,-59.106
-6.384,23.328,-59.717
-6.494,23.340,-59.351
-6.494,23.340,-59.351
-6.238,23.071,-59.338
-6.348,22.876,-58.582
-6.323,22.974,-58.862
-6.030,22.095,-58.948
-5.896,21.387,-59.558
-6.201,21.082,-59.375
