x,y,z
-0.018,0.997,-0.007
-0.019,0.998,-0.005
-0.019,0.998,-0.008
-0.020,0.998,-0.004
-0.019,0.998,-0.006
-0.020,0.997,-0.007
-0.018,0.998,-0.008
-0.020,0.998,-0.006
-0.020,0.999,-0.006
-0.020,0.997,-0.008
-0.019,0.997,-0.006
-0.020,0.997,-0.008
-0.019,0.998,-0.007
-0.019,0.998,-0.006
-0.019,0.997,-0.006
-0.018,0.997,-0.006
-0.018,0.997,-0.007
-0.020,0.997,-0.007
-0.019,0.998,-0.006
-0.019,0.998,-0.006
-0.019,0.998,-0.007
-0.019,0.997,-0.007
-0.019,0.997,-0.005
-0.018,1.000,-0.007
-0.019,0.998,-0.006
-0.019,0.998,-0.006
-0.020,0.998,-0.006
-0.019,0.997,-0.007
-0.019,0.997,-0.005
-0.020,0.999,-0.006
-0.020,0.997,-0.006
-0.019,0.997,-0.005
-0.019,0.997,-0.008
-0.019,0.997,-0.006
-0.019,0.997,-0.007
-0.019,0.998,-0.006
-0.019,0.998,-0.006
-0.019,0.998,-0.006
-0.019,0.997,-0.006
-0.020,0.998,-0.006
-0.020,0.996,-0.007
-0.019,0.998,-0.006
-0.019,0.998,-0.007
-0.018,0.998,-0.006
-0.018,0.997,-0.007
-0.018,0.998,-0.006
-0.018,0.997,-0.006
-0.020,0.996,-0.006
-0.019,0.998,-0.006
-0.019,0.998,-0.008
-0.020,0.998,-0.006
-0.018,0.997,-0.006
-0.019,0.997,-0.006
-0.018,0.999,-0.007
-0.019,0.998,-0.006
-0.019,0.997,-0.006
-0.019,0.997,-0.006
-0.018,0.998,-0.007
-0.019,0.997,-0.006
-0.019,0.997,-0.007
-0.019,0.999,-0.005
-0.020,0.997,-0.008
-0.018,0.998,-0.006
-0.019,0.998,-0.007
-0.019,0.998,-0.006
-0.019,0.997,-0.007
-0.019,0.997,-0.007
-0.019,0.997,-0.006
-0.019,0.997,-0.007
-0.018,0.999,-0.007
-0.019,0.997,-0.007
-0.018,0.997,-0.008
-0.019,0.997,-0.007
-0.019,0.997,-0.007
-0.019,0.998,-0.007
-0.018,0.997,-0.006
-0.020,0.997,-0.007
-0.019,0.999,-0.006
-0.020,0.997,-0.006
-0.019,0.998,-0.006
-0.018,0.998,-0.006
-0.020,0.997,-0.006
-0.018,0.998,-0.006
-0.019,0.998,-0.007
-0.019,0.997,-0.005
-0.019,0.998,-0.007
-0.018,0.998,-0.006
-0.020,0.997,-0.006
-0.019,0.997,-0.006
-0.019,0.997,-0.006
-0.020,0.997,-0.007
-0.019,0.997,-0.005
-0.019,0.997,-0.007
-0.019,0.998,-0.007
-0.019,0.997,-0.007
-0.019,0.997,-0.007
-0.018,0.998,-0.006
-0.019,0.997,-0.007
-0.018,0.997,-0.007
-0.018,0.999,-0.007
-0.020,0.997,-0.006
-0.019,0.997,-0.006
-0.019,0.997,-0.006
-0.018,0.997,-0.006
-0.020,0.998,-0.007
-0.019,0.998,-0.007
-0.019,0.997,-0.007
-0.020,0.998,-0.006
-0.020,0.997,-0.006
-0.019,0.998,-0.006
-0.019,0.998,-0.007
-0.019,0.999,-0.007
-0.020,0.997,-0.007
-0.019,0.998,-0.009
-0.019,0.998,-0.005
-0.020,0.997,-0.008
-0.020,0.997,-0.007
-0.018,0.997,-0.007
-0.020,0.998,-0.007
-0.020,0.998,-0.006
-0.018,0.998,-0.007
-0.018,0.996,-0.007
-0.019,0.999,-0.007
-0.019,0.998,-0.009
-0.019,0.997,-0.006
-0.020,0.997,-0.009
-0.019,0.998,-0.005
-0.020,0.998,-0.007
-0.019,0.997,-0.008
-0.019,0.998,-0.006
-0.019,0.998,-0.007
-0.020,0.998,-0.006
-0.019,0.998,-0.009
-0.020,0.997,-0.006
-0.020,0.998,-0.007
-0.019,0.998,-0.007
-0.019,0.997,-0.007
-0.019,0.998,-0.007
-0.018,1.000,-0.006
-0.019,0.997,-0.009
-0.020,0.998,-0.006
-0.020,0.996,-0.007
-0.019,0.997,-0.007
-0.019,0.997,-0.007
-0.019,0.998,-0.008
-0.020,0.998,-0.007
-0.019,0.997,-0.007
-0.019,0.997,-0.007
-0.019,0.997,-0.006
-0.019,0.997,-0.006
-0.019,0.997,-0.006
-0.019,0.997,-0.005
-0.019,0.997,-0.007
-0.019,0.997,-0.007
-0.019,0.997,-0.007
-0.017,0.997,-0.005
-0.019,0.998,-0.007
-0.019,0.998,-0.006
-0.020,0.997,-0.006
-0.019,0.998,-0.007
-0.019,0.997,-0.007
-0.019,0.999,-0.007
-0.020,0.997,-0.006
-0.019,0.997,-0.005
-0.036,-0.993,-0.014
-0.035,-0.993,-0.015
-0.035,-0.992,-0.015
-0.035,-0.993,-0.015
-0.035,-0.993,-0.016
-0.035,-0.993,-0.015
-0.035,-0.993,-0.014
-0.035,-0.993,-0.015
-0.035,-0.993,-0.015
-0.036,-0.995,-0.014
-0.035,-0.994,-0.014
-0.034,-0.992,-0.014
-0.035,-0.994,-0.015
-0.034,-0.993,-0.015
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.036,-0.993,-0.015
-0.035,-0.995,-0.016
-0.036,-0.993,-0.013
-0.035,-0.993,-0.015
-0.035,-0.993,-0.016
-0.035,-0.993,-0.015
-0.035,-0.993,-0.014
-0.035,-0.995,-0.015
-0.036,-0.993,-0.015
-0.035,-0.994,-0.015
-0.035,-0.993,-0.013
-0.036,-0.994,-0.015
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.994,-0.015
-0.035,-0.994,-0.013
-0.035,-0.994,-0.014
-0.035,-0.993,-0.013
-0.035,-0.993,-0.015
-0.036,-0.995,-0.014
-0.034,-0.993,-0.013
-0.035,-0.993,-0.014
-0.034,-0.994,-0.013
-0.034,-0.994,-0.014
-0.034,-0.995,-0.013
-0.035,-0.994,-0.012
-0.034,-0.994,-0.014
-0.035,-0.994,-0.014
-0.034,-0.994,-0.013
-0.034,-0.994,-0.014
-0.034,-0.994,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.035,-0.993,-0.014
-0.036,-0.993,-0.015
-0.035,-0.994,-0.014
-0.035,-0.994,-0.015
-0.034,-0.993,-0.014
-0.034,-0.994,-0.013
